,0
2016-07-28,-1.2068556107464044
2016-07-29,4.157347626422163
2016-08-01,-2.4627767239740344
2016-08-02,-0.1795780342280886
2016-08-03,-2.1593084882821714
2016-08-04,-1.2192389033951656
2016-08-05,-1.758651369244049
2016-08-08,-1.6063579019253917
2016-08-09,0.13768485103035494
2016-08-10,-1.5749461452842044
2016-08-11,-0.7091012249986175
2016-08-12,-1.1221306394346109
2016-08-15,-2.7451762604484586
2016-08-16,9.132369316801002
2016-08-17,-4.992541463965677
2016-08-18,7.311702087358917
2016-08-19,-2.0855049589752106
2016-08-22,-3.2409500835962235
2016-08-23,6.186740671149451
2016-08-24,-1.7527751382501027
2016-08-25,-2.411026799298684
2016-08-26,-0.9316217193595582
2016-08-29,-0.601908185313827
2016-08-30,-1.165852988533816
